X,Y,OBJECTID,TAG,NAME,GRADELEVEL,PHONE,CALENDAR,ADDRESSNUM,ADDRESS,CITY,ZIPCODE,MAGNETPROGRAM,WEBSITE,DISTRICT,TYPE
2079034.349892899394035,726189.156737625598907,1,568,Swift Creek Elementary,Elementary,919-233-4320,Traditional,5601,Tryon Rd,Raleigh,27606,N/A,http://www.wcpss.net/swiftcreekes,5,Elementary Schools
2063089.617674812674522,734826.331720471382141,2,340,Briarcliff Elementary,Elementary,919-460-3443,Traditional,1220,Pond St,Cary,27511,N/A,http://www.wcpss.net/briarcliffes,9,Elementary Schools
2066875.759380728006363,730870.613582044839859,3,414,Farmington Woods Elementary,Elementary,919-460-3469,Traditional,1413,Hampton Valley Rd,Cary,27511,International Baccalaureate Programme,http://www.wcpss.net/farmingtonwoodses,9,Magnet Elementary School
2069263.761166393756866,736058.347301051020622,4,368,Cary High,High,919-460-3549,Traditional,638,Walnut St,Cary,27511,N/A,http://www.wcpss.net/caryhs,9,High School
2070549.47677081823349,737890.926641136407852,5,304,Adams Elementary,Elementary,919-460-3431,Year-Round,805,Cary Towne Blvd,Cary,27511,N/A,http://www.wcpss.net/adamses,9,Elementary Schools
2042533.408459231257439,717373.978173792362213,6,308,Apex Elementary,Elementary,919-387-2150,Traditional,700,Tingen Rd,Apex,27502,N/A,http://www.wcpss.net/apexes,8,Elementary Schools
2048185.794464141130447,726157.985868215560913,7,316,Apex High,High,919-387-2208,Traditional,1501,Laura Duncan Rd,Apex,27502,N/A,http://www.wcpss.net/apexhs,8,High School
2065777.279950395226479,743672.857662543654442,8,460,Kingswood Elementary,Elementary,919-460-3481,Traditional,200,E Johnson St,Cary,27513,Montessori Program grades PK-5,http://www.wcpss.net/kingswoodes,9,Magnet Elementary School
2062329.891175895929337,744446.473241299390793,9,520,Northwoods Elementary,Elementary,919-460-3491,Traditional,8850,Chapel Hill Rd,Cary,27513,N/A,http://www.wcpss.net/northwoodses,9,Elementary Schools
2088523.440822809934616,737156.967807218432426,10,376,Combs Elementary,Elementary,919-233-4300,Traditional,2001,Lorimer Rd,Raleigh,27606,Leadership,http://www.wcpss.net/combses,5,Magnet Elementary School
2085719.866377472877502,734753.640264794230461,11,318,Athens Drive High,High,919-233-4050,Traditional,1420,Athens Dr,Raleigh,27606,Center for Medical Sciences and Global Health Initiatives,http://www.wcpss.net/athensdrivehs,5,Magnet High School
2103088.36116798222065,742765.226603791117668,12,348,Broughton High,High,919-856-7810,Traditional,723,St Mary's St,Raleigh,27605,Global Studies / Language Immersion,http://www.wcpss.net/broughtonhs,6,Magnet High School
2117609.511259481310844,744636.270433887839317,13,536,Powell Elementary,Elementary,919-856-7737,Traditional,1130,Marlborough Rd,Raleigh,27610,Center for Play and Ingenuity,http://www.wcpss.net/powelles,4,Magnet Elementary School
2113800.079245805740356,742081.852970540523529,14,528,Mary E. Phillips High School,High,919-856-7710,Traditional,1923,Milburnie Rd,Raleigh,27610,N/A,http://www.wcpss.net/phillipshs,4,Special / Optional Schools
2110823.125882148742676,735812.311047717928886,15,472,Ligon Middle,Middle,919-856-7929,Traditional,706,E Lenoir St,Raleigh,27601,AIG Basics Program - Wake County AIG Identification Required,http://www.wcpss.net/ligonms,4,Magnet Middle School
2105970.614589810371399,734440.135314375162125,16,596,Washington Elementary,Elementary,919-856-7960,Traditional,1000,Fayetteville St,Raleigh,27601,"Gifted and Talented grades 9-12;  IB Diploma Programme available at grades 11-12",http://www.wcpss.net/washingtones,5,Magnet Elementary School
2110385.330825984477997,732501.957104131579399,17,356,Carnage Middle,Middle,919-856-7600,Traditional,1425,Carnage Dr,Raleigh,27610,AIG Basics Program - Wake County AIG Identification Required,http://www.wcpss.net/carnagems,4,Magnet Middle School
2101776.546206310391426,751064.421291470527649,18,388,Daniels Middle,Middle,919-881-4860,Traditional,2816,Oberlin Rd,Raleigh,27608,Global Studies / Language Immersion,http://www.wcpss.net/danielsms,6,Magnet Middle School
2103627.521178901195526,755562.822071552276611,19,548,Root Elementary,Elementary,919-881-4940,Traditional,3202,Northampton St,Raleigh,27609,N/A,http://www.wcpss.net/rootes,6,Elementary Schools
2098232.030985653400421,772059.434419468045235,20,488,Lynn Road Elementary,Elementary,919-870-4074,Traditional,1601,Lynn Rd,Raleigh,27612,N/A,http://www.wcpss.net/lynnroades,6,Elementary Schools
2102382.422291144728661,762615.584868878126144,21,344,Brooks Elementary,Elementary,919-881-1350,Traditional,700,Northbrook Dr,Raleigh,27609,GT/AIG/Museums,http://www.wcpss.net/brookses,6,Magnet Elementary School
2106202.70730148255825,762001.974219471216202,22,360,Carroll Middle,Middle,919-881-1370,Traditional,4520,Six Forks Rd,Raleigh,27609,Leadership and World Languages,http://www.wcpss.net/carrollms,6,Magnet Middle School
2109963.243743643164635,760981.530066132545471,23,396,Douglas Elementary,Elementary,919-881-4894,Traditional,600,Ortega Rd,Raleigh,27609,Creative Arts and Science Program,http://www.wcpss.net/douglases,6,Magnet Elementary School
2115345.92129847407341,764309.218620717525482,24,496,Millbrook Elementary,Elementary,919-850-8700,Traditional,1520,E Millbrook Rd,Raleigh,27609,Environmental Connections,http://www.wcpss.net/millbrookes,6,Magnet Elementary School
2126550.083929479122162,754350.14831580221653,25,616,Wilburn Elementary,Elementary,919-850-8738,"Year-Round, Track 4 Only",3707,Marsh Creek Rd,Raleigh,27604,N/A,http://www.wcpss.net/wilburnes,4,Elementary Schools
2125516.110931813716888,766985.366811707615852,26,408,East Millbrook Middle,Middle,919-850-8755,Traditional,3801,Spring Forest Rd,Raleigh,27616,Academy for Visual and Performing Arts,http://www.wcpss.net/eastmillbrookms,3,Magnet Middle School
2131786.121357649564743,772949.732835710048676,27,415,Fox Road Elementary,Elementary,919-850-8845,Traditional,7101,Fox Rd,Raleigh,27616,International Baccalaureate Programme,http://www.wcpss.net/foxroades,3,Magnet Elementary School
2101800.565515235066414,779731.868877708911896,28,470,Lead Mine Elementary,Elementary,919-870-4120,Traditional,8301,Old Lead Mine Rd,Raleigh,27615,N/A,http://www.wcpss.net/leadminees,7,Elementary Schools
2109912.189383819699287,794883.534112378954887,29,334,Brassfield Elementary,Elementary,919-870-4080,Year-Round,2001,Brassfield Rd,Raleigh,27614,N/A,http://www.wcpss.net/brassfieldes,3,Elementary Schools
2096711.402793318033218,800995.674447134137154,30,531,Pleasant Union Elementary,Elementary,919-870-4230,Year-Round,1900,Pleasant Union Ch Rd,Raleigh,27614,N/A,http://www.wcpss.net/pleasantuniones,3,Elementary Schools
2061232.715876817703247,668121.158700630068779,31,424,Fuquay-Varina Middle,Middle,919-557-2727,Traditional,109,N Ennis St,Fuquay-Varina,27526,N/A,http://www.wcpss.net/fuquayvarinams,2,Middle School
2113640.301350146532059,693321.682118386030197,32,540,Rand Road Elementary,Elementary,919-662-2275,"Year-Round, Track 4 Only",300,Arbor Greene Dr,Garner,27529,N/A,http://www.wcpss.net/randroades,2,Elementary Schools
2122792.009424641728401,733920.893570721149445,33,352,Bugg Elementary,Elementary,919-250-4750,Traditional,825,Cooper Rd,Raleigh,27610,Center for Design and Computer Science,http://www.wcpss.net/bugges,4,Magnet Elementary School
2152663.706242814660072,747763.657223716378212,34,480,Lockhart Elementary,Elementary,919-266-8525,"Year-Round, Track 4 Only",1320,N Smithfield Rd,Knightdale,27545,N/A,http://www.wcpss.net/lockhartes,1,Elementary Schools
2170800.454089984297752,750818.672439128160477,35,411,East Wake High,High,919-365-2625,Traditional,5101,Rolesville Rd,Wendell,27591,N/A,http://www.wcpss.net/eastwakehs,1,High School
2186301.477877900004387,741338.897107377648354,36,600,Wendell Elementary,Elementary,919-365-2660,Traditional,3355,Wendell Blvd,Wendell,27591,Creative Arts and Science Program,http://www.wcpss.net/wendelles,1,Magnet Elementary School
2203781.980646476149559,758335.310949131846428,37,636,Zebulon Middle,Middle,919-404-3630,Traditional,1000,Shepard School Rd,Zebulon,27597,"Gifted and Talented grades 9-12;  IB Diploma Programme available at grades 11-12",http://www.wcpss.net/zebulonms,1,Magnet Middle School
2147730.740715056657791,755978.430820375680923,38,410,East Wake Middle,Middle,919-266-8500,Modified,2700,Old Milburnie Rd,Raleigh,27604,N/A,http://www.wcpss.net/eastwakems,1,Middle School
2159130.288453981280327,789726.651053458452225,39,544,Rolesville Elementary,Elementary,919-554-8686,Traditional,307,S Main St,Rolesville,27571,N/A,http://www.wcpss.net/rolesvillees,1,Elementary Schools
2143818.800704315304756,810635.537057131528854,40,584,Wake Forest Elementary,Elementary,919-554-8655,Traditional,136,W Sycamore Ave,Wake Forest,27587,N/A,http://www.wcpss.net/wakeforestes,1,Elementary Schools
2139527.976936891674995,802473.521885126829147,41,592,Wake Forest Middle,Middle,919-554-8440,Traditional,1800,S Main St,Wake Forest,27587,N/A,http://www.wcpss.net/wakeforestms,1,Middle School
2124283.999222815036774,782800.895876124501228,42,398,Durant Road Elementary,Elementary,919-870-4220,Year-Round,9901,Durant Rd,Raleigh,27614,N/A,http://www.wcpss.net/durantroades,3,Elementary Schools
2091249.620409816503525,759302.811966881155968,43,564,Stough Elementary,Elementary,919-881-4950,Traditional,4210,Edwards Mill Rd,Raleigh,27612,Chinese Immersion,http://www.wcpss.net/stoughes,6,Magnet Elementary School
2093709.710633978247643,765475.16510771214962,44,628,York Elementary,Elementary,919-881-4960,Traditional,5201,Brookhaven Dr,Raleigh,27612,N/A,http://www.wcpss.net/yorkes,7,Elementary Schools
2094427.388988643884659,770995.627491965889931,45,452,Jeffreys Grove Elementary,Elementary,919-881-4910,Traditional,6119,Creedmoor Rd,Raleigh,27612,Spanish Immersion,http://www.wcpss.net/jeffreysgrovees,7,Magnet Elementary School
2070839.047713980078697,695807.499653294682503,46,606,West Lake Elementary,Elementary,919-662-2300,Year-Round,4500,West Lake Rd,Apex,27539,N/A,http://www.wcpss.net/westlakees,5,Elementary Schools
2039314.501183152198792,747972.770322546362877,47,441,Green Hope High,High,919-380-3700,Traditional,2500,Carpenter Upchurch Rd,Cary,27519,N/A,http://www.wcpss.net/greenhopehs,9,High School
2117541.47924330830574,726552.361719876527786,48,562,Southeast Raleigh High,High,919-856-2800,Modified,2600,Rock Quarry Rd,Raleigh,27610,"University Connections: Design, Art and Engineering",http://www.wcpss.net/southeastraleighhs,4,Magnet High School
2116199.76801598072052,731767.396237298846245,49,010,Rock Quarry Service Center,Administrative,919-856-8120, ,1551,Rock Quarry Rd,Raleigh,27610,N/A, ,4,Administration
2031342.351116985082626,722381.606281876564026,50,523,Olive Chapel Elementary,Elementary,919-387-4440,Year-Round,1751,Olive Chapel Rd,Apex,27502,N/A,http://www.wcpss.net/olivechapeles,8,Elementary Schools
2181783.890128314495087,743372.508197635412216,51,362,Carver Elementary,Elementary,919-365-2680,Modified,291,Liles-Dean Rd,Wendell,27591,N/A,http://www.wcpss.net/carveres,1,Elementary Schools
2063935.523135229945183,715127.806485041975975,52,522,Oak Grove Elementary,Elementary,919-387-4490,Year-Round,10401,Penny Rd,Raleigh,27606,N/A,http://www.wcpss.net/oakgrovees,8,Elementary Schools
2045012.492083728313446,719244.817936047911644,53,312,Apex Middle,Middle,919-387-2181,Traditional,400,E Moore St,Apex,27502,N/A,http://www.wcpss.net/apexms,8,Middle School
2043198.709293976426125,723196.998679965734482,54,328,Baucom Elementary,Elementary,919-387-2168,Traditional,400,Hunter St,Apex,27502,N/A,http://www.wcpss.net/baucomes,8,Elementary Schools
2119582.514859393239021,757420.511925712227821,55,336,Brentwood Elementary,Elementary,919-850-8720,Traditional,3426,Ingram Dr,Raleigh,27604,School of Engineering,http://brentwoodes.wix.com/brentwoodes,6,Magnet Elementary School
2069267.454072400927544,738793.497670635581017,56,402,East Cary Middle,Middle,919-466-4377,Traditional,1111,SE Maynard Rd,Cary,27511,N/A,http://www.wcpss.net/eastcaryms,9,Middle School
2117508.048535898327827,740661.689800381660461,57,412,Enloe High,High,919-856-7918,Traditional,128,Clarendon Crescent,Raleigh,27610,"Gifted and Talented grades 9-12;  IB Diploma Programme available at grades 11-12",http://www.wcpss.net/enloehs,4,Magnet High School
2154511.689423486590385,740875.91082863509655,58,464,Knightdale Elementary,Elementary,919-266-8540,Traditional,109,Ridge St,Knightdale,27545,N/A,http://www.wcpss.net/knightdalees,1,Elementary Schools
2117255.99785889685154,769954.161070957779884,59,500,Millbrook High,High,919-850-8787,Traditional,2201,Spring Forest Rd,Raleigh,27615,International Baccalaureate Programme,http://www.wcpss.net/millbrookhs,3,Magnet High School
2111692.404655396938324,776250.588766798377037,60,516,North Ridge Elementary,Elementary,919-870-4100,Traditional,7120,Harps Mill Rd,Raleigh,27615,N/A,http://www.wcpss.net/northridgees,3,Elementary Schools
2104571.067848235368729,768358.52252995967865,61,552,Sanderson High,High,919-881-4800,Traditional,5500,Dixon Dr,Raleigh,27609,N/A,http://www.wcpss.net/sandersonhs,6,High School
2045529.02418714761734,750286.272913381457329,62,504,Morrisville Elementary,Elementary,919-460-3400,Year-Round,1519,Morrisville Pkwy,Morrisville,27560,N/A,http://www.wcpss.net/morrisvillees,7,Elementary Schools
2060991.726857483386993,747071.994236961007118,63,604,West Cary Middle,Middle,919-460-3528,Traditional,1000,Evans Rd,Cary,27513,N/A,http://www.wcpss.net/westcaryms,9,Middle School
2109036.835491478443146,780351.614029303193092,64,608,West Millbrook Middle,Middle,919-870-4050,Traditional,8115,Strickland Rd,Raleigh,27615,International Baccalaureate Programme,http://www.wcpss.net/westmillbrookms,3,Middle School
2092978.245889559388161,750679.661562293767929,65,492,Martin Middle,Middle,919-881-4970,Traditional,1701,Ridge Rd,Raleigh,27607,"Gifted and Talented grades 9-12;  IB Diploma Programme available at grades 11-12",http://www.wcpss.net/martinms,6,Magnet Middle School
2096350.915653392672539,743962.011939883232117,66,524,Olds Elementary,Elementary,919-856-7699,Traditional,204,Dixie Trl,Raleigh,27607,N/A,http://www.wcpss.net/oldses,6,Elementary Schools
2143415.524936065077782,813697.634279385209084,67,588,Wake Forest High,High,919-554-8611,Traditional,420,W Stadium Dr,Wake Forest,27587,N/A,http://www.wcpss.net/wakeforesths,1,High School
2103380.136503055691719,740847.449927553534508,68,620,Wiley Elementary,Elementary,919-856-7723,Traditional,301,St Mary's St,Raleigh,27605,International Studies,http://www.wcpss.net/wileyes,6,Magnet Elementary School
2132785.984515398740768,780551.837710216641426,69,618,Wildwood Forest Elementary,Elementary,919-713-0600,Traditional,8401,Wild Wood Forest Dr,Raleigh,27616,N/A,http://www.wcpss.net/wildwoodforestes,3,Elementary Schools
2080434.704047560691833,723528.801165968179703,70,626,Yates Mill Elementary,Elementary,919-233-4244,Traditional,5993,Yates Mill Pond Rd,Raleigh,27606,N/A,http://www.wcpss.net/yatesmilles,5,Elementary Schools
2104488.494850650429726,742532.582384049892426,71,525,Partnership Elementary,Elementary,919-856-8200,Modified,601,Devereux St,Raleigh,27605,Interactive Community,http://www.wcpss.net/partnershipes,6,Magnet Elementary School
2092487.331188976764679,730981.073334887623787,72,370,Centennial Campus Middle,Middle,919-233-4217,Modified,1900,Main Campus Dr,Raleigh,27606,University Connections and Leadership,http://www.wcpss.net/centennialms,5,Magnet Middle School
2041496.21171472966671,747277.844875127077103,73,439,Green Hope Elementary,Elementary,919-388-5270,Traditional,2700,Louis Stephens Dr,Cary,27519,N/A,http://www.wcpss.net/greenhopees,9,Elementary Schools
2144670.708449319005013,800723.484046638011932,74,444,Heritage Middle,Middle,919-562-6204,Year-Round,3400,Rogers Rd,Wake Forest,27587,N/A,http://www.wcpss.net/heritagems,1,Middle School
2108365.289918556809425,737611.324510052800179,75,506,Moore Square Middle,Middle,919-664-5737,Modified,301,S Person St,Raleigh,27601,GT/AIG/Museums,http://www.wcpss.net/mooresquarems,5,Magnet Middle School
2099212.465048402547836,786040.130867466330528,76,326,Baileywick Road Elementary,Elementary,919-518-0090,Traditional,9425,Baileywick Rd,Raleigh,27615,N/A,http://www.wcpss.net/baileywickroades,3,Elementary Schools
2071049.631938472390175,697612.708641290664673,77,495,Middle Creek High,High,919-773-3838,Traditional,123,Middle Creek Park Ave,Apex,27539,N/A,http://www.wcpss.net/middlecreekhs,5,High School
2050359.073254063725471,717166.570452123880386,78,484,Lufkin Road Middle,Middle,919-387-4465,Year-Round,1002,Lufkin Rd,Apex,27539,N/A,http://www.wcpss.net/lufkinroadms,8,Middle School
2037029.99033223092556,736155.694547295570374,79,571,Turner Creek Elementary,Elementary,919-363-1391,Year-Round,6801,Turner Creek Rd,Cary,27519,N/A,http://www.wcpss.net/turnercreekes,8,Elementary Schools
2044405.160293146967888,730243.960635885596275,80,550,Salem Elementary,Elementary,919-363-2865,Year-Round,6116,Old Jenks Rd,Apex,27523,N/A,http://www.wcpss.net/salemes,9,Elementary Schools
2045051.901125639677048,730946.369007959961891,81,551,Salem Middle,Middle,919-363-1870,Year-Round,6150,Old Jenks Rd,Apex,27523,N/A,http://www.wcpss.net/salemms,9,Middle School
2034325.602696388959885,746446.171013548970222,82,443,Highcroft Drive Elementary,Elementary,919-460-3527,Traditional,5415,Highcroft Dr,Cary,27519,N/A,http://www.wcpss.net/highcroftdrivees,8,Elementary Schools
2044270.192059144377708,737944.914722129702568,83,391,Davis Drive Middle,Middle,919-387-3033,Traditional,2101,Davis Dr,Cary,27519,N/A,http://www.wcpss.net/davisdrivems,9,Middle School
2044391.156056061387062,738843.949341386556625,84,390,Davis Drive Elementary,Elementary,919-387-2130,Traditional,2151,Davis Dr,Cary,27519,N/A,http://www.wcpss.net/davisdrivees,9,Elementary Schools
2144493.342662319540977,799786.669319212436676,85,454,Heritage Elementary,Elementary,919-562-6000,Year-Round,3500,Rogers Rd,Wake Forest,27587,N/A,http://www.wcpss.net/heritagees,1,Elementary Schools
2047577.044041231274605,759544.597900629043579,86,369,Cedar Fork Elementary,Elementary,919-388-5240,Traditional,1050,Town Hall Dr,Morrisville,27560,N/A,http://www.wcpss.net/cedarforkes,7,Elementary Schools
2032894.573406234383583,757241.376129135489464,87,526,Panther Creek High,High,919-463-8656,Traditional,6770,McCrimmon Pkwy,Cary,27519,N/A,http://www.wcpss.net/panthercreekhs,7,High School
2064855.218802392482758,739506.603199794888496,88,364,Cary Elementary,Elementary,919-460-3455,Traditional,400,Kildaire Farm Rd,Cary,27511,N/A,http://www.wcpss.net/caryes,9,Elementary Schools
2044880.032046809792519,683472.449848383665085,89,455,Holly Springs High,High,919-577-1444,Traditional,5329,Cass Holt Rd,Holly Springs,27540,N/A,http://www.wcpss.net/hollyspringshs,8,High School
2057879.486690893769264,782982.940459549427032,90,342,Brier Creek Elementary,Elementary,919-484-4747,Year-Round,9801,Brier Creek Pkwy,Raleigh,27617,N/A,http://www.wcpss.net/briercreekes,7,Elementary Schools
2122129.540277153253555,783971.758363798260689,91,399,Durant Road Middle,Middle,919-870-4098,Year-Round,10401,Durant Rd,Raleigh,27614,N/A,http://www.wcpss.net/durantroadms,3,Middle School
2055918.153999403119087,743344.112257048487663,92,598,Weatherstone Elementary,Elementary,919-380-6988,Traditional,1000,Olde Weatherstone Way,Cary,27513,N/A,http://www.wcpss.net/weatherstonees,9,Elementary Schools
2115066.392329975962639,715694.524839803576469,93,512,North Garner Middle,Middle,919-662-2434,"Year-Round, Track 4 Only",720,Powell Dr,Garner,27529,N/A,http://www.wcpss.net/northgarnerms,2,Middle School
2084768.440786898136139,773558.24999138712883,94,442,Hilburn Drive Academy,Elementary/Middle,919-571-6800,Traditional,7100,Hilburn Dr,Raleigh,27613,N/A,http://www.wcpss.net/hilburnacademy,7,Academies
2111794.490737318992615,744895.727920219302177,95,380,Conn Elementary,Elementary,919-856-7637,Traditional,1220,Brookside Dr,Raleigh,27604,Entrepreneurial Design,http://www.wcpss.net/connes,4,Magnet Elementary School
2105238.510739058256149,747222.423726126551628,96,572,Underwood Elementary,Elementary,919-856-7663,Traditional,1614,Glenwood Ave,Raleigh,27608,"Gifted and Talented grades 9-12;  IB Diploma Programme available at grades 11-12",http://www.wcpss.net/underwoodes,6,Magnet Elementary School
2083237.717142313718796,742810.096592798829079,97,508,Mount Vernon Middle-Bridges Program,Elementary/Middle,919-233-4313,Traditional,5418,Chapel Hill Rd,Raleigh,27607,N/A,http://www.wcpss.net/mtvernonms,6,Special / Optional Schools
2156402.672518149018288,801114.976373881101608,98,453,Jones Dairy Elementary,Elementary,919-562-6181,Year-Round,1100,Jones Dairy Rd,Wake Forest,27587,N/A,http://www.wcpss.net/jonesdairyes,1,Elementary Schools
2127865.240091815590858,798903.703893542289734,99,593,Wakefield Elementary,Elementary,919-562-3555,Traditional,2400,Wakefield Pines Dr,Raleigh,27614,N/A,http://www.wcpss.net/wakefieldes,3,Elementary Schools
2127447.778656393289566,799432.386563211679459,100,594,Wakefield Middle,Middle,919-562-3500,Traditional,2300,Wakefield Pines Dr,Raleigh,27614,N/A,http://www.wcpss.net/wakefieldms,3,Middle School
2127144.624078974127769,800114.18670879304409,101,595,Wakefield High,High,919-562-3600,Traditional,2200,Wakefield Pines Dr,Raleigh,27614,N/A,http://www.wcpss.net/wakefieldhs,3,High School
2105506.189009472727776,766127.964655131101608,102,440,Green Elementary,Elementary,919-431-8141,Traditional,5307,Six Forks Rd,Raleigh,27609,Leadership and World Languages,http://www.wcpss.net/greenes,6,Magnet Elementary School
2155165.320662140846252,750508.149766221642494,103,466,Knightdale High,High,919-217-5350,Traditional,100,Bryan Chalk Ln,Knightdale,27545,N/A,http://www.wcpss.net/knightdalehs,1,High School
